ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,FacilityName,ActivityType,ManagedBy,Ward,Address,Postcode
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Aberford Bowling Green,Bowling Green,Parks and Countryside,Harewood,Parlington Drive,LS25 3EP
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,"Aberford, Wetherby Road",Playground,Parish Council,,Weherby Road,
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Acre Close Bowling Green ,Bowling Green,Parks and Countryside,Middleton Park,,LS10 4HX
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Adwalton Moor,Senior,Parks and Countryside,Morley North,"Moorland Road, Adwalton",BD11 1JZ
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Adwalton Moor,Senior,Parks and Countryside,Morley North,"Moorland Road, Adwalton",BD11 1JZ
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Adwalton Moor,Mini (7v7),Parks and Countryside,Morley North,"Moorland Road, Adwalton",BD11 1JZ
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Adwalton Moor,Junior (9v9),Parks and Countryside,Morley North,"Moorland Road, Adwalton",BD11 1JZ
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Adwalton Moor MUGA,Ball Park Area,Parks and Countryside,Morley North,"Moorland Road, Adwalton",BD11 1JZ
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Allerton Bywater,Playground,Parks and Countryside,Kippax & Methley,"Allerton Bywater, Back Lane",WF10
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Allerton Bywater Skatepark,Skateboard Park,Parks and Countryside,Kippax & Methley,"Back Lane, Allerton Bywater",WF10
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Allerton Bywater Sport Ground,Bowling Green,Parks and Countryside,Kippax & Methley,"Back Lane, Allerton Bywater",WF10 2PG
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Allerton Bywater Sports Ground,Ball Park Area,Parks and Countryside,Kippax & Methley,"Back Lane, Allerton Bywater",WF10
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Armley Park,Skateboard Park,Parks and Countryside,Armley,Stanningley Road Leeds,LS12 3LW
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Armley Park,Bowling Green,Parks and Countryside,Armley,Stanningley Road Leeds,LS12 3LW
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Armley Park,Senior,Parks and Countryside,Armley,Stanningley Road Leeds,LS12 3LW
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Armley Park,Senior,Parks and Countryside,Armley,Stanningley Road Leeds,LS12 3LW
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Armley Park Playground,Playground,Parks and Countryside,Armley,Stanningley Road Leeds,LS12 3LW
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Armley Skate Park,Skateboard Park,Parks and Countryside,Armley,"Stanningley Road, Leeds",LS12 3LW
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Baines Terrace,Playground,Parks and Countryside,Rothwell,"Leadwell, Lane Leeds",LS26
